topic,aliases,topic_desc,knowledge_class,topic_desc_basic,knowledge_class_basic,tags,category
tribunal,"ALMSIVI, Living Gods","The Tribunal—Almalexia, Sotha Sil, and Vivec, collectively Almsivi—are the Living Gods of the Dunmer and the central figures of the native Tribunal Temple faith. For millennia, they have guided and protected Morrowind, their divine authority and sustained power forming the bedrock of Dunmer religious and cultural identity. The Temple itself wields immense authority, controlling sacred sites like Ghostgate and the city of Vivec while maintaining strong ties with the pious Great Houses, particularly Indoril and Redoran. Though the faith accepts outlanders, few join sincerely. Tensions persist with Imperial institutions, as the Temple remains proscribed to adherents of the Imperial cult. The Tribunal's presence defines Morrowind's spiritual landscape.","priest, scholar, tribunal_temple, dunmer","The Tribunal, or Almsivi, are the three Living Gods of the Dunmer: Almalexia, Sotha Sil, and Vivec. They are the central figures of the Tribunal Temple, the native religion of Morrowind, which wields great authority over the province's spiritual and cultural life.","common, tribunal_temple, dunmer","Almsivi, Almalexia, Sotha Sil, Vivec, Living Gods, Tribunal Temple, Dunmer religion, Morrowind faith, Ghostgate, House Indoril, House Redoran",religion
balmora,,"Balmora, meaning Stonewood in the Dunmeri tongue, is the district seat of House Hlaalu and Vvardenfell's second largest settlement after Vivec. Situated at the southern edge of the West Gash, it commands a strategic crossroads where the Ashlands, Bitter Coast marshes, and Ascadian Isles plantations converge. The Odai River divides the city into four districts: High Town on the eastern bluffs, the Commercial District, Labor Town to the west, and the Imperial Moonmoth Legion Fort just north. Though originally a Redoran stronghold, Hlaalu acquired the city through shrewd business and architectural maneuvering, transforming it into a prosperous mercantile hub reflecting their cosmopolitan values.","traveler, scholar, house_hlaalu, west_gash","Balmora is the district seat of House Hlaalu and Vvardenfell's second largest settlement. Located in the West Gash along the Odai River, it serves as a major mercantile hub. The city is divided into High Town, the Commercial District, Labor Town, and Moonmoth Legion Fort.",common,"Balmora, House Hlaalu, West Gash, Odai River, Moonmoth Legion Fort, High Town, Commercial District, Labor Town, Vvardenfell, Stonewood",settlements
vvardenfell,Vvardenfell District,"Vvardenfell, also called the Black Isle, is a large island within Morrowind's Inner Sea, dominated by the great volcano Red Mountain. Named after the Dwemeri term for that peak, meaning City of the Strong Shield, its landscape of arid wastes, rocky highlands, and coastal wetlands undergoes constant renewal from eruptions and ash-fall. Originally home to House Dagoth and a Dwemer kingdom, the entire territory became a Tribunal Temple preserve following the Battle of Red Mountain. Under the Armistice, the Temple restricted settlement and trade. In 3E 414, Vvardenfell was reorganized into an Imperial Provincial District divided into Redoran, Hlaalu, Telvanni, and Temple districts, each administered locally but overseen by Duke Dren and the District Council in Ebonheart. By 3E 427, heavy colonization has reduced native Dunmer to roughly half the population, while Dagoth Ur's spreading Ash Blight increasingly afflicts the island's environment and inhabitants.","traveler, scholar, dunmer, imperial","Vvardenfell is a large island within Morrowind's Inner Sea, dominated by the great volcano Red Mountain. Its landscape of arid wastes, rocky highlands, and coastal wetlands is constantly reshaped by eruptions and ash-fall. Formerly a Tribunal Temple preserve with restricted access, the island was reorganized as an Imperial Provincial District in 3E 414, opening it to increased Great House and outlander colonization.","common, dunmer","island, Red Mountain, Inner Sea, Morrowind, Tribunal Temple, Imperial District, Great Houses, volcano, ashlands, Dwemer, House Dagoth, Armistice",regions
nerevarine,"Nerevar Reborn, Incarnate","The prophesied reincarnation of the Chimeri warlord Indoril Nerevar, whose return is foretold to defeat Dagoth Ur and restore Resdayn. The Nerevarine Cult holds that Nerevar cursed the ring Moon-and-Star so that none but his reincarnate could wear it. The Incarnate must survive corprus, don Moon-and-Star, and be named Hortator and Nerevarine by the Great Houses and Ashlander tribes. Whether the figure is a true soul-rebirth or a destiny-fulfilling individual remains contested between the Dissident Priests and orthodox Temple doctrine.","scholar, esoteric, ashlander, tribunal_temple","A prophesied hero of Ashlander belief, held to be the reincarnation of Indoril Nerevar. The Nerevarine is destined to cast down the false gods, end the Blight, and restore Resdayn. The Temple denounces this doctrine as heresy.","esoteric, ashlander, tribunal_temple","Nerevarine, prophecy, Indoril Nerevar, reincarnation, Ashlander, Moon-and-Star, Hortator, Dagoth Ur, Blight, Resdayn, Dissident Priests, Nerevarine Cult",lore
nerevarine_prophecies,"Seven Visions, Seven Trials","The Nerevarine Prophecies are Ashlander traditions foretelling the reincarnation of Indoril Nerevar. Centered on the Seven Visions and Seven Trials, they predict the Incarnate will unite the Dunmer, cast down the false Tribunal, and drive the Blight from Resdayn. The Tribunal Temple fiercely suppresses these teachings as heresy, though the predicted signs—including the moon-and-star ring and the outsider's arrival—remain central to millennial anticipation.","scholar, esoteric, ashlander, tribunal_temple",Ashlander traditions hold that Indoril Nerevar will be reincarnated to save the Dunmer. The prophecies describe seven trials the Incarnate must overcome to cast down false gods and end the Blight. The Tribunal Temple condemns these teachings as heresy.,"esoteric, ashlander, tribunal_temple","prophecy, Nerevarine, Ashlander, Nerevar, Incarnate, Blight, Tribunal, Vvardenfell, Resdayn, Dunmer, Moon-and-Star, heresy",lore
sixth_house,"House Dagoth, Sixth House and the Tribe Unmourned","The Sixth House, originally House Dagoth, was the sixth Great House of the Chimer. Following the Battle of Red Mountain, its records were destroyed and its surviving members were absorbed into the remaining houses, earning it the epithet 'the Tribe Unmourned.' Unbeknownst to the world, Dagoth Ur survived within Red Mountain, gradually building power and influence. Operating from citadels like Kogoruhn, he commands ash vampires and corrupted dreamers, seeking to overthrow the Tribunal and reshape Morrowind through the power of the Heart of Lorkhan and a new Numidium.","scholar, esoteric, house_dagoth, ashlander, tribunal_temple","The Sixth House, originally House Dagoth, was the defunct sixth Great House of the Chimer. After the Battle of Red Mountain, its records were destroyed and its surviving members were absorbed into other houses. Unbeknownst to the outside world, Dagoth Ur survived within Red Mountain and spent centuries building power, seeking to overthrow the Tribunal and conquer Morrowind.","esoteric, house_dagoth, ashlander","House Dagoth, Sixth House, Dagoth Ur, Red Mountain, Ash Vampire, Tribunal, Ghostfence, Kogoruhn, Chimer, Great Houses, Tribe Unmourned, Heart of Lorkhan",factions
red_mountain,Vvardenfell volcano,"Red Mountain is a massive volcano dominating the island of Vvardenfell in Morrowind. Originally the highest peak in Tamriel, its summit is visible from Mournhold on clear days. The island takes its name from the Dwemeris designation for the mountain, meaning City of the Strong Shield. Red Mountain has erupted catastrophically multiple times, including the Sun's Death event and the Days of Fire. The Tribunal encircled the mountain with the Ghostfence to contain the Ash Blight, restricting physical access primarily to Ghostgate. Within this perimeter lie deep lava ravines called foyada, blighted creatures, and four ancient Dwemer citadels serving as strongholds for Dagoth Ur and his ash vampires. The mountain holds profound mythological significance as the Red Tower, with the Heart of Lorkhan serving as its Stone, anchoring Mundus with variable fate. The Battle of Red Mountain occurred on its slopes, resulting in the Dwemer disappearance and the Tribunal's ascension.","traveler, scholar, red_mountain, ashlander, dwemer","Red Mountain is a vast volcano dominating the island of Vvardenfell. Visible from Mournhold, it is considered the most dangerous region in Morrowind. The Tribunal built the Ghostfence around it to contain the Ash Blight, with Ghostgate serving as the primary entrance. Ash storms and blighted creatures plague the interior, where ancient Dwemer citadels serve as strongholds for Dagoth Ur and his minions.","common, red_mountain, ashlander","volcano, Vvardenfell, Ghostfence, Dagoth Ur, Dwemer, Heart of Lorkhan, Red Tower, foyada, Blight, Tribunal, Morrowind, eruption",locations
chimer,"Changed Ones, Velothi","The Chimer, meaning People of the North, are the Aldmeri dissidents who followed the prophet Veloth from Summerset Isle to settle Morrowind. Rejecting Aedric worship, they embraced the Good Daedra—Boethiah, Azura, and Mephala—whose teachings shaped their dynamic, ambitious culture of fundamentalist ancestor worship. Resembling the Altmer but with paler golden skin, they established the High Velothi culture and raised great temples to their Daedric patrons. Their civilization ended at the Battle of Red Mountain, when Azura's curse transformed them into the Dunmer. A few figures, notably Almalexia and partially Vivec, retained their Chimeri appearance despite this curse.","scholar, dunmer, priest, daedra","The Chimer were Aldmeri clans who followed the prophet Veloth from Summerset to Morrowind, worshipping the Daedra Boethiah, Azura, and Mephala. They built a golden-skinned civilization devoted to ancestor worship before being cursed and transformed into the Dunmer after the Battle of Red Mountain.","common, traveler, dunmer","mer, aldmer, veloth, exodus, morrowind, daedra, boethiah, azura, mephala, tribunal, red mountain, dunmer",cultures
dwemer,"Deep Elves, Dwarves","The Dwemer, commonly called Dwarves or Deep Elves, are a fabled lost race of Mer that vanished in 1E 700. Devoted to reason, science, and the arcane over faith, they built elaborate underground cities and crafted enigmatic mechanical constructs. Their agnostic culture often clashed with the Daedra-worshipping Chimer, though the two united under the First Council to repel Nordic invaders before warring over the profane Heart of Lorkhan. The Rourken clan exiled itself westward to Hammerfell, while other clans established holdings in Skyrim. The entire race mysteriously disappeared during the War of the First Council, leaving behind only their enigmatic ruins, mechanical guardians, and enduring mysteries.","scholar, dwemer, mage, smith","The Dwemer, or Deep Elves, were a reclusive race of Mer known as Dwarves who mysteriously vanished in 1E 700. They were highly skilled engineers and enchanters who built vast underground cities and mechanical guardians across Morrowind, Hammerfell, and Skyrim. Their agnostic society preferred reason over religion, frequently clashing with their Daedra-worshipping Chimer neighbors. Their sudden disappearance left their ruins and artifacts scattered across Tamriel.","common, traveler, dwemer, mage, smith","mer, lost race, dwarves, deep elves, first council, resdayn, dwarven ruins, dwarven constructs, heart of lorkhan, rourken, hammerfell, vvardenfell",races
ghostfence,,"The Great Ghost Fence is an enormous wall encircling the crater of Red Mountain, raised by the Tribunal to contain the Blight and corprus monsters within the Red Mountain region. Its pillars channel the holy energies of Almsivi and the spirits of the deceased, forming an impenetrable shield. Constructed in standard Temple architectural style, it has stood since shortly after the Armistice in the late Second Era and is centuries old. The only conventional entrance lies at the gate citadel of Ghostgate, though a tunnel through Kogoruhn also breaches the barrier. Levitation and cliff racers can pass over the wall. The period around 3E 417 is sometimes called the time of the Ghostfence. Pilgrims following the Seven Graces must pass through the fence to reach the Shrine of Pride.","scholar, traveler, tribunal_temple, red_mountain","The Great Ghost Fence is a vast wall surrounding Red Mountain, sustained by the Tribunal's combined powers to keep the Blight and corprus monsters contained. The only conventional entrance is at Ghostgate. It has stood for centuries since shortly after the Armistice.","common, tribunal_temple, red_mountain","ghostfence, red mountain, blight, corprus, tribunal, ghostgate, kogoruhn, vvardenfell, temple architecture, pilgrimage, shrine of pride, shield",locations
corprus,Divine Disease,"Corprus, meaning 'skin blight' in Ald Chimeris, encompasses various skin ailments afflicting the Dunmer. Ranging from mild blemishes to lethal plagues, these maladies stem from natural causes like poor hygiene and parasites, or unnatural alchemical and magical origins. However, the term is most notoriously applied to the Divine Disease, a horrific supernatural blight created by Dagoth Ur. This corprus twists victims into grotesque, agonized mutants, eroding their minds while unnaturally bolstering their physical resilience, ultimately reducing them to shambling corprus beasts or mindless servants of the Sixth House.","scholar, esoteric, healer, house_dagoth, tribunal_temple","Corprus, meaning 'skin blight' in Ald Chimeris, refers to various skin ailments common among the Dunmer. These range from natural blemishes caused by poor hygiene to severe magical plagues. Most notoriously, the term describes the Divine Disease, a horrific supernatural blight created by Dagoth Ur that twists victims into grotesque, mindless mutants.","esoteric, healer","disease, blight, Dagoth Ur, Sixth House, Divine Disease, Ald Chimeris, corprus beast, Tribunal Temple, Vvardenfell, skin blight",diseases
vivec,"Lord Vivec, Warrior-Poet, Vehk","Vivec, known as the Warrior-Poet, is the Guardian God-King of Vvardenfell and a member of the Tribunal alongside Almalexia and Sotha Sil. He embodies the spirit and duality of the Dunmer people, reflected in his half-Chimer, half-Dunmer aspect. Before apotheosis, he served as Hortator Indoril Nerevar's general, though accounts of his mortal origins range from a netchiman's son to a divine egg-image associated with the Daedric Prince Mephala. A prolific writer, his cryptic 36 Lessons serve as a guide for the prophesied Nerevarine. He resides in his palace at the summit of Vivec City, the holy canton capital of Vvardenfell, guarding the land from the dark gods of Red Mountain. His legendary spear is Muatra.","priest, scholar, tribunal_temple, dunmer","Lord Vivec, the Warrior-Poet, is one of the three Living Gods of the Tribunal and the Guardian God-King of Vvardenfell. He embodies Dunmer duality and is renowned for both martial prowess and cryptic poetry. He resides within his palace in Vivec City, ever vigilant against the forces of Red Mountain.","common, tribunal_temple, dunmer","Tribunal, god, Dunmer, Chimer, Vvardenfell, Muatra, Almsivi, Nerevarine, poet, Mephala",figures
sotha_sil,"Lord Sotha Sil, Seht, Clockwork God","Sotha Sil, or Seht, is the wizard-mystic god of the Dunmer and the most reclusive member of the Tribunal. Known as the Mainspring Ever-Wound and the Clockwork God, he is the patron of artificers and wizards. He brokered the Coldharbour Compact with eight Daedric Princes to restrict their direct interference in mortal affairs. He dwells within his Clockwork City, a mechanical realm served by fabricants and Clockwork Apostles devoted to achieving Tamriel Final. To free himself from the burden of emotion, he extracted his memories into the Mnemonic Planisphere. He does not believe in free will or his own divinity, viewing himself as bound to his creations and burdened by absolute certainty, coveting the word 'maybe' above all others.","priest, scholar, tribunal_temple, dunmer, mage","Sotha Sil, called Seht, is the reclusive wizard-mystic god of the Dunmer and a member of the Tribunal. Known as the Clockwork God and patron of artificers, he negotiated the Coldharbour Compact limiting Daedric interference in mortal affairs. He resides within his Clockwork City, endlessly creating mechanical wonders, and rarely appears among his followers.","common, tribunal_temple, dunmer, mage","Tribunal, AlmSiVi, Dunmer, Clockwork City, Coldharbour Compact, Daedra, Mnemonic Planisphere, Clockwork Apostles, Gods, Chimer",figures
dagoth_ur,"Voryn Dagoth, Sharmat","Once Voryn Dagoth, Lord High Councilor of House Dagoth and companion of Hortator Indoril Nerevar, he reported the Dwemer's profane discovery of the Heart of Lorkhan, inadvertently sparking the Battle of Red Mountain. Accounts of his actions during the conflict fiercely diverge, but the aftermath saw his house condemned as traitors and his name demonized by the Tribunal Temple as the Sharmat and the Devil. Surviving his apparent death, he slept beneath Red Mountain for millennia. Upon reawakening, he stole divine power from the Tribunal, spread the Blight and corprus across Morrowind, and sought to build Akulakhan to conquer Tamriel.","scholar, esoteric, house_dagoth, ashlander, tribunal_temple","Known to the Tribunal Temple as the Sharmat and the Devil, Dagoth Ur is the immortal enemy of the Dunmer people. Once the lord of the extinct House Dagoth, he slept beneath Red Mountain for ages before reawakening. He spreads the Blight and corprus disease from his stronghold, seeking to conquer all of Morrowind.","esoteric, tribunal_temple","House Dagoth, Sharmat, Red Mountain, Heart of Lorkhan, Tribunal, Akulakhan, Blight, Corprus, Nerevarine, Sixth House, Dunmer",figures
