plugin,baseid,name,description
Morrowind.esm,probe_bent,Bent Probe,"A thin metal probing tool with a visible bend in its shaft, the pointed tip angled away from the handle."
Morrowind.esm,probe_grandmaster,Grandmaster's Probe,"A slender, polished metallic probe with a fine hooked tip and an ornate grip for delicate lock manipulation."
Bloodmoon.esm,repair_journeyman_01,Journeyman's Armorer's Hammer,"A steel hammerhead mounted on a worn wooden handle, sized for moderate repair work on metal armor and blades."
Bloodmoon.esm,repair_master_01,Master's Armorer's Hammer,A heavy steel hammer with a broad flat face and a sturdy wooden handle for heavy metalworking.
Morrowind.esm,fiend spear,Fiend Spear,"A long two-handed spear fitted with a dark, barbed iron head mounted on a worn wooden shaft."
Morrowind.esm,cruel shardsword,Cruel Shardsword,"A short-bladed sword with a jagged, cruel edge and a hilt fitted for one-handed wielding."
Tribunal.esm,silver dagger_droth_unique,Droth Dagger,A slender one-handed silver dagger featuring a tapered double-edged blade and a short hilt fitted with a plain crossguard.
Tribunal.esm,Bipolar Blade_x,BiPolar Blade,A double-ended two-handed long blade displays a mirrored hilt with straight cross-guards extending from its central grip.
Tribunal.esm,DarkBrotherhood Cuirass,Dark Brotherhood Cuirass,"A close-fitting black cuirass shaped for stealth, constructed from dark leather with subtle reinforced panels."
Tribunal.esm,imperial cuirass_armor,Imperial Steel Cuirass,"A formed steel cuirass shaped to the torso, bearing the segmented plates and polished finish of Imperial legionary armor."
Tribunal.esm,misc_de_pot_blue_01,Blue Glass Pot,"A rounded glass pot with a flared rim and short foot, crafted from translucent blue material with a smooth, reflective surface."
Bloodmoon.esm,BM_wolf_right_pauldron_snow,Snow Wolf Right Pauldron,A white-furred right shoulder guard shaped from layered leather and reinforced with a curved bone plate.
Bloodmoon.esm,BM wolf right gauntlet,Wolf Right Gauntlet,"A right-hand gauntlet crafted from tanned wolf hide, featuring coarse fur along the cuff and reinforced leather finger guards."
Bloodmoon.esm,BM_NordicMail_PauldronL,Nordic Mail Left Pauldron,"A left shoulder pauldron constructed from interlocking steel rings over dark leather, capped with a rounded metal plate."
Bloodmoon.esm,silver staff of peace,Silver Staff of Peace,"A long staff of polished silver, its smooth shaft ending in a tightly curled finial."
Bloodmoon.esm,steel_towershield_ancient,Ancient Steel Tower Shield,"A tall rectangular steel shield of ancient manufacture, its broad metal surface darkened and heavily pitted by age."
Morrowind.esm,misc_de_pot_glass_peach_01,Peach Glass Pot,"A smooth, rounded glass pot with a warm peach hue and a slightly flared rim."
Morrowind.esm,extravagant_shirt_01_h,Extravagant Shirt,"A tailored, high-collared shirt of lavish fabric features voluminous sleeves gathered at the cuffs."
Morrowind.esm,common_ring_03,Common Ring,"A slender copper band with a small, rough-cut green stone set into a simple claw mounting."
Morrowind.esm,common_pants_01,Common Pants,"Simple, unadorned trousers tailored from sturdy, undyed fabric with a plain cut and unremarkable stitching."
Morrowind.esm,misc_com_basket_01,Basket,A woven wicker basket with a rounded body and two small arched handles at the rim.
Morrowind.esm,bloodworm_helm_unique,Bloodworm Helm,"A crude helmet shaped from a yellowed troll skull, featuring prominent brow ridges and heavy, curving horns projecting over the ears."
Morrowind.esm,silver_dukesguard_cuirass,Duke's Guard Silver Cuirass,A polished silver cuirass shaped with reinforced ridges across the chest and fitted with articulated side plates.
Tribunal.esm,dragonbone_cuirass_unique_x,Dragonbone cuirass,"A thick cuirass of pale dragon bone fitted over dark metal plates, shaped with overlapping ridges along the torso."
Bloodmoon.esm,sc_rumornote_bm,Odd Rumor,"A creased parchment scroll bearing hastily scrawled, uneven script across its yellowed surface."
Tribunal.esm,Indoril_MH_Guard_helmet,Her Hand's Helmet,"A tall, golden Indoril helmet featuring a fearsome face guard and sweeping, wing-like cheek plates."
Morrowind.esm,dwarven shortsword,Dwarven Shortsword,A brass-colored Dwemer metal shortsword with a straight double-edged blade and a geometric crossguard.
Morrowind.esm,sanguinebeltsmiting,Belt of Sanguine Smiting,"An extravagant belt fashioned from dark, supple leather and fastened with a polished ornate metal buckle."
Morrowind.esm,dire viperblade,Dire Viperblade,"A wicked one-handed short blade curved like a fang, its dark metallic hilt carved with sinuous reptilian scales."
Morrowind.esm,steel tanto,Steel Tanto,"A short single-edged steel blade with a straight spine tapering to a sharp tip, fitted with a guarded hilt."
Morrowind.esm,sanguinebeltsureflight,Belt of Sanguine Sureflight,An extravagant belt crafted from supple dark leather and fitted with an ornate silver buckle bearing subtle sanguine motifs.
Morrowind.esm,chitin shortsword,Chitin Shortsword,A short-bladed sword featuring a pale chitin blade and hilt wrapped with dark leather cord.
Morrowind.esm,champion belt,Champion Belt,A sturdy leather belt fitted with an ornate metal buckle and decorated with embossed patterns along its length.
Morrowind.esm,misc_dwrv_artifact70,Dwemer Schematic,A rolled parchment of brass-trimmed vellum displaying intricate geometric diagrams rendered in faded copper ink.
Bloodmoon.esm,BM nordic silver shortsword,Nordic Silver Shortsword,"A short, tapering blade of polished silver is fitted to a wooden hilt wrapped in leather."
Morrowind.esm,Zenithar's_Wiles,Zeinthar's Wiles,"A common right glove of simple cut and unadorned stitching, crafted from sturdy, undyed cloth."
Morrowind.esm,hoptoad ring,Hoptoad Ring,"A thick, plain band of inexpensive, slightly tarnished metal forms the ring, its smooth surface devoid of ornamentation."
Morrowind.esm,bk_notetomenus,Note to Menus,"A folded paper scroll bearing handwritten text intended for Menus, secured with a simple wax seal."
Morrowind.esm,ring of medusa's gaze,Ring of Medusa's Gaze,"An extravagant ring crafted from polished gold, featuring a wide band and a prominent circular setting holding a pale stone."
Morrowind.esm,ingred_red_lichen_01,Red Lichen,"A small, rough cluster of reddish fungal growth with curled, leafy lobes spreading from a central base."
Morrowind.esm,bk_Telvanni_Vault_Ledger,Telvanni Vault Ledger,"A thick, open-faced ledger bound in worn leather, its densely inked columns filling the pale pages."
Morrowind.esm,bk_nemindasorders,Neminda's Orders,"A rolled parchment scroll bound with a faded cord, featuring worn edges and discolored, yellowed vellum."
Morrowind.esm,bk_indreledeed,Deed to Indrele's House,"A rolled parchment scroll bearing the legal property deed for Indrele's house, written on yellowed animal skin."
Bloodmoon.esm,bk_colonyreport,Colony Status Report,A rolled parchment scroll bearing handwritten observations on the status of a colonial settlement.
Morrowind.esm,exquisite_ring_processus,Processus Vitellius' Ring,"An exquisite gold ring set with a polished gem, bearing the personal mark of its former owner."
Morrowind.esm,daedric wakizashi_hhst,Daedric Wakizashi,A curved short blade of blackened Daedric metal features a sharply hooked hilt and sweeping guard.
Morrowind.esm,bk_notetocalderamages,Note to Mages,"A curled parchment scroll bearing a handwritten message addressed to mages, secured with a simple wax seal."
Morrowind.esm,ebony_bracer_right,Ebony Right Bracer,A dense right bracer of polished black metal features curved plates and sharp angular flanges along the forearm.
Morrowind.esm,glass staff,Glass Staff,A tall two-handed staff fashioned from translucent green glass with a smooth cylindrical shaft and a flared head.
Morrowind.esm,steel stormsword,Steel Stormsword,A forged steel long blade with a straight double-edged blade and a crossguard fitted to a leather-wrapped grip.
Bloodmoon.esm,silver shardsword,Silver Shardsword,"A slender long blade forged from polished silver, featuring a straight double-edged blade and a crossguard with angular shard-like protrusions."
Morrowind.esm,key_caryarel,Caryarel's Key,"A small, standard iron key with a plain rectangular bow and a simple, single-cut bit."
Morrowind.esm,templar_pauldron_left,Imperial Templar Left Pauldron,"A segmented steel left pauldron shaped to cover the shoulder, fitted with leather straps and polished to a silvery sheen."
Morrowind.esm,bookskill_medium armor5,"36 Lessons of Vivec, Sermon 33",A bound octavo volume featuring a worn cover of dark leather with faded gilt lettering along the spine.
Morrowind.esm,p_fortify_magicka_c,Cheap Potion of Fortify Magicka,"A thin, cheaply made glass vial holds a pale blue liquid secured with a simple cork stopper."
Morrowind.esm,common_pants_05,Common Pants,These simple trousers are tailored from plain woven cloth with a practical cut and unadorned hems.
Morrowind.esm,key_Ashmelech,Key to Asmelech,"A brass key fitted with a short rectangular bit, bearing a temple insignia cast into its flat bow."
Morrowind.esm,chitin_shield,Chitin Shield,A lightweight shield formed from laminated insect chitin segments bound by dark resin over a hide backing.
Morrowind.esm,key_aurane1,Aurane Frernis' Key,"A small, plain metal key with a simple rectangular bow and a single-toothed bit, showing minor tarnish from regular handling."
Bloodmoon.esm,key_maryn,Maren House Key,"A simple iron key with a flat, notched blade and a plain bow."
Morrowind.esm,expensive_robe_01,Expensive Robe,"A finely tailored, flowing garment of rich fabric with subtle decorative stitching along the hem and cuffs."
Morrowind.esm,p_fortify_health_e,Exclusive Fortify Health,"A tall, slender glass bottle with a rounded base holds a viscous crimson liquid sealed with a gold-trimmed stopper."
Tribunal.esm,dreugh_shield,Dreugh Shield,"A broad shield formed from dark, chitinous dreugh shell, its surface shaped into angular ridges and a central boss."
Morrowind.esm,Gold_001,Gold,"A small stack of thin, circular coins stamped with faded imperial insignia and cast in a warm yellow metal."
Morrowind.esm,key_Forge of Rolamus,Ancient daedric Key,"A heavy blackened metal key bearing angular Daedric script along its asymmetrical, temple-style bit."
Morrowind.esm,p_restore_strength_q,Quality Restore Strength,A small angular glass vial contains a dark amber liquid sealed with a fitted stopper.
Morrowind.esm,bk_OnMorrowind,On Morrowind,"A thick octavo book bound in worn leather covers, its spine displaying faded gilt lettering over yellowed pages."
Morrowind.esm,lifestone,Lifestone,"A common ring fashioned from a pale stone, its smooth circular band supporting a rounded, unadorned gem."
Morrowind.esm,misc_com_wood_knife_UNI2,Knife,"A simple wooden knife carved from pale grain, featuring a tapered blade and a rounded handle."
Morrowind.esm,misc_de_pot_redware_04,Redware Pot,A rounded terracotta vessel with a narrow neck and two small loop handles shows a deep reddish-brown hue.
Morrowind.esm,artifact_soul_ring,Soul Ring,"A thick golden band ring formed into a continuous circular shape with a smooth, unadorned surface."
Morrowind.esm,p_drain_luck_q,Spoiled Cure Disease Potion,"A cork-stoppered glass flask of spoiled medicine, its once-clear liquid turned murky and discolored."
Morrowind.esm,ring_dahrkmezalf_uniq,Ring of Dahrk Mezalf,"A circular gold ring set with a polished gemstone, fashioned with expensive craftsmanship and smooth polished bands."
Tribunal.esm,bk_AlchemistsFormulary,The Alchemists Formulary,"A thick, open octavo volume bound in worn leather, its densely inked pages filled with alchemical recipes and formulae."
Tribunal.esm,book_dwe_mach00,Old Dwemer Book,A thick octavo volume bound in aged brass covers etched with faded geometric patterns typical of Dwemer craftsmanship.
Morrowind.esm,sc_firstbarrier,Scroll of The First Barrier,"A rolled parchment scroll secured with a tied cord, its aged surface covered in dense ink script."
Morrowind.esm,misc_de_goblet_04_dagoth,House Dagoth cup,"A dark metallic goblet bearing the stylized Sixth House insignia, its flared rim and slender stem cast in heavy alloy."
Morrowind.esm,p_restore_health_q,Quality Restore Health,A tapered glass vial sealed with a fitted stopper and containing a restorative red liquid.
Bloodmoon.esm,misc_com_bucket_01,Bucket,A cylindrical wooden bucket with a curved carrying handle fitted across its open top.
Morrowind.esm,amulet of frost,Amulet of Frost,A costly circular amulet of pale gold suspends a polished blue gemstone within its delicate openwork frame.
Morrowind.esm,bk_talostreason,Note from Oritius Maro,"A rolled parchment scroll bearing a handwritten message, its pale surface slightly curled at the edges."
Morrowind.esm,daedric_crescent_unique,Daedric Crescent,"A curved two-handed long blade shaped into a deep crescent, forged from dark metal with sharply hooked tips at each end."
Morrowind.esm,bk_OriginOfTheMagesGuild,Origin of the Mages Guild,"A compact octavo-bound book bearing the title on its cover, with a sturdy spine enclosing gathered pages between cloth-backed boards."
Morrowind.esm,bk_BoethiahPillowBook,Boethiah's Pillow Book,"A slim octavo volume bound in dark leather, its plain covers offering no visible title or ornamentation."
Morrowind.esm,imperial left gauntlet,Imperial Steel Left Gauntlet,"A steel left gauntlet shaped to guard the hand, fitted with articulated plates and secured by leather straps."
Morrowind.esm,steel poisonsword,Steel Poisonsword,A leaf-bladed steel longsword with a wide central fuller tapering to an acute tip for delivering venom.
Tribunal.esm,bk_AncestorsAndTheDunmer,Ancestors and the Dunmer,"A thick octavo volume bound in dark leather covers, featuring a faded rectangular label on its spine."
Morrowind.esm,firebite club,Firebite Club,"A chitin-encrusted one-handed club featuring a rough, asymmetrical head and a segmented, insect-shell grip."
Morrowind.esm,steel longbow,Steel Longbow,"A tall curved bow crafted from polished steel, featuring a taut string and slender limbs tapering toward the nocks."
Morrowind.esm,key_nelothtelnaga3,Key to Tel Naga,A plain iron key cut with standard ward-notches for opening a Tel Naga door.
Morrowind.esm,veloths_shield,Veloth's Shield,A chitin shield constructed from laminated insect shell sections fitted over a curved wooden frame.
Morrowind.esm,p_almsivi_intervention_s,Potion of Fool's Luck,"A fresh potion contained in a rounded glass flask, filled with a pale liquid."
Morrowind.esm,extravagant_glove_right_01,Extravagant Right Glove,A finely tailored right-hand glove crafted from richly dyed fabric with elaborate embroidered trim along the cuff.
Morrowind.esm,amulet of almsivi intervention,Amulet of Almsivi Intervention,"A round metal amulet hangs from a slender chain, fitted with a polished gemstone centered in its simple bezel setting."
Morrowind.esm,expensive_glove_left_01,Expensive Left Glove,"A well-tailored left glove crafted from fine dark leather, featuring elegant stitching along the tapered fingers and fitted cuff."
Morrowind.esm,sanguineamuletglibspeech,Amulet of Sanguine Glib Speech,"A costly circular amulet hung from a slender chain, crafted from polished metal and fitted with a small ornamental setting."
Morrowind.esm,ebony shortsword,Ebony Shortsword,"A compact shortsword forged from dark ebony metal, featuring a short blade and a matching hilt."
Morrowind.esm,misc_de_goblet_03,Goblet,"A wide-bowled drinking goblet with a slender stem and circular foot, crafted from polished dark metal."
Morrowind.esm,writ_bero,Honorable Writ of Execution,"A tightly rolled paper scroll bearing official text, secured with a dark wax seal and trailing faded ribbon ends."
Morrowind.esm,indoril shield,Indoril Shield,A tall elliptical shield plated in golden metal and bordered with ornate scrolling copper fittings.
Morrowind.esm,BookSkill_Enchant1,Feyfolken I,"A quarto-sized book bound in worn leather covers, its spine displaying the title Feyfolken I in faded gilt lettering."
Morrowind.esm,bk_a2_2_dagoth_message,Message from Dagoth Ur,"A rolled parchment scroll bearing a handwritten message, its yellowed surface slightly worn at the edges."
Morrowind.esm,sc_purityofbody,Scroll of Purity of Body,"A tightly wound parchment scroll bearing the written incantation for Purity of Body, secured by a plain wooden dowel."
Morrowind.esm,light_de_candle_blue_02,Bamboo Candlestick,A segmented bamboo stem supports a pale blue candle atop a simple woven base.
Bloodmoon.esm,silver sparkblade,Silver Sparkblade,A polished silver short blade tapers to a sharp tip atop an ornate hilt crafted from matching pale metal.
Morrowind.esm,key_sinsibadonslaves_01,Sinsibadon Slave Key,"A plain brass key with a simple bow and a squarely cut bit, showing minor tarnish along the shaft."
Bloodmoon.esm,bk_HouseOfTroubles_o,The House of Troubles,"A squared octavo volume lies open, its well-bound pages displaying neatly arranged text within plain covers."
Morrowind.esm,ebony_staff_tges,Maryon's Staff,"A tall two-handed staff carved from dark ebony, featuring a smooth shaft and a flared head."
Morrowind.esm,BookSkill_Alchemy5,"36 Lessons of Vivec, Sermon 18","A thin octavo volume bound in worn leather, with faded alchemical symbols stamped across the spine and covers."
Morrowind.esm,dwarven crossbow,Dwarven Crossbow,"A heavy brass-colored metal stock supports a short, thick prod and a sturdy mechanical firing assembly."
Morrowind.esm,key_Rethandus_tomb,Key to Rethandus tomb,"A thin iron key fitted with a broad trapezoidal bow and a short single-toothed bit, bearing molded temple reliefs."
Morrowind.esm,steel flamemace,Steel Flamemace,"A heavy one-handed mace forged from dark steel, featuring a thick haft and a flanged head built to deliver crushing blows."
Morrowind.esm,artifact_amulet of heartfire,Amulet of Heartfire,A circular metallic amulet centered with a polished crimson gemstone set within a warm-hued ornamental frame.
Morrowind.esm,exquisite_belt_01,Exquisite Belt,"A richly ornamented belt of fine material, fastened with an elaborate decorative buckle."
Morrowind.esm,key_Mzahnch_chest,Key to Mzahnch chest,"A simple brass key with a flat, notched blade and a plain rectangular bow."
Morrowind.esm,misc_com_plate_06,Plate,A round ceramic plate with a smooth glazed surface and a subtle blue-painted rim.
Morrowind.esm,misc_com_redware_bowl,Bowl,A concave redware vessel with a rounded bottom and smoothly curved sides forming an open rim.
Morrowind.esm,p_cure_poison_s,Potion of Cure Poison,A small rounded glass vial of pale green liquid sealed with a cork stopper and fitted with a narrow neck.
Morrowind.esm,ember hand,Ember Hand,"A fitted right glove of common weave, dyed a deep ember hue with darkened stitching along the fingers and cuff."
Morrowind.esm,misc_com_wood_spoon_01_UNI2,Spoon,"A carved wooden spoon with a shallow oval bowl and a plain, smoothly tapered handle."
Morrowind.esm,bookskill_axe2,The Axe Man,"A worn octavo volume bound in dark leather, featuring a tooled axe motif on the front cover and aged pages."
Morrowind.esm,bk_notefromferele,Note from Ferele,A creased parchment scroll bearing a handwritten note in faded ink on its yellowed surface.
Morrowind.esm,key_nelothtelnaga4,Key to Tel Naga,"A simple wrought iron key with a flat, notched blade and a plain bow."
Morrowind.esm,light_com_lantern_02,Travel Lantern,A portable oil lantern features a cylindrical glass chimney encased within a protective metal frame and topped with a carrying handle.
Morrowind.esm,bonemold_tshield_redoranguard,Redoran Guard Shield,A tall bonemold tower shield painted in House Redoran colors and decorated with the noble house's heraldic insect emblem.
Morrowind.esm,ingred_scamp_skin_01,Scamp Skin,"A rough, leathery hide stripped from a scamp, bearing a wrinkled texture and mottled reddish-brown hue."
Morrowind.esm,common_robe_02_hh,Common Robe,"A plain, long-sleeved garment of coarse fabric, loose from the shoulders down to the ankles with a hood attached."
Morrowind.esm,claymore_chrysamere_unique,Chrysamere,A polished two-handed claymore with a slender straight blade and an elaborate crossguard shaped like golden outstretched wings.
Morrowind.esm,key_Helas_tomb,Key to Helas tomb,"A plain iron key with a simple rectangular bow and a single-cut bit, fitted for a standard lock."
Morrowind.esm,key_Palansour,Worn Key,"A small, tarnished metal key with a simple rectangular bow and a notched blade showing obvious wear."
Morrowind.esm,p_fortify_health_q,Quality Fortify Health,"A tall, rounded glass vial with a narrow neck contains a viscous red liquid sealed with a cork stopper."
Morrowind.esm,key_keelraniur,Small Key,"A small iron key with a simple rectangular bow and a single-toothed bit, showing dark tarnish along its shaft."
Morrowind.esm,p_restore_intelligence_c,Cheap Restore Intelligence,"A thin, cheaply made glass vial holds a pale blue liquid sealed with a rough cork stopper."
Morrowind.esm,p_restore_endurance_b,Bargain Restore Endurance,"A thin, cheap glass vial holds a murky brown liquid sealed with a rough wax stopper."
Morrowind.esm,bookskill_hand to hand5,Master Zoaraym's Tale,"A thick octavo book bound in worn leather covers, its spine displaying faded gilt lettering and decorative tooling."
Bloodmoon.esm,silver flameskewer,Silver Flameskewer,"A silver-tipped two-handed spear featuring a slender metallic shaft and a long, flame-shaped blade."
Morrowind.esm,p_fortify_endurance_c,Cheap Fortify Endurance,"A cheap, thin-walled glass vial holds a murky, pale brown liquid sealed with a rough wax stopper."
Morrowind.esm,misc_de_bowl_redware_03,Redware Bowl,"A rounded ceramic bowl with gently curving sides, crafted from reddish-brown clay and polished to a smooth finish."
Morrowind.esm,light_de_candle_03_64,Candle,"A slender wax cylinder sits in a small brass holder, its wick rising from the rounded top."
Morrowind.esm,p_jump_e,Exclusive Potion of Jump,"A tall, faceted glass vial with a round stopper contains a pale green liquid swirling inside a sleek, rectangular lower body."
Morrowind.esm,common_pants_01_e,Common Pants,"Simple cotton trousers with a drawstring waist, dyed a pale earthy brown and cut for unadorned practical wear."
Morrowind.esm,shockbite battle axe,Shockbite Battle Axe,"A heavy two-handed steel battle axe with a thick haft and wide, double-bladed cutting heads."
Morrowind.esm,bk_galerionthemystic,Galerion The Mystic,"A rectangular octavo book bound in worn leather covers, featuring a simple spine and plain text block."
Morrowind.esm,common_ring_danar,Danar's Ring,A simple circular band of inexpensive metal forms this unadorned finger ring with a polished surface.
Morrowind.esm,sc_mark,Scroll of Mark,"A tightly wound parchment scroll secured with a cord, its yellowed surface covered with faded ink script."
Tribunal.esm,bk_easternprovincesimpartial,The Eastern Provinces...,"A tall octavo volume bound in worn brown leather, featuring a plain spine and unadorned covers."
Tribunal.esm,misc_com_bottle_13,Bottle,"A clear glass bottle with a narrow neck and rounded body, sealed with a fitted cork stopper."
Morrowind.esm,helm of holy fire,Helm of Holy Fire,"A chitinous dreugh helmet shaped into a horned crest, its pale carapace marked by deep orange channels."
Morrowind.esm,hex charm,Hex Charm,"A common circular amulet strung on a cord, featuring a plain metal disc etched with a hex symbol."
Bloodmoon.esm,misc_de_bowl_redware_02,Large Redware Bowl,"A wide, shallow ceramic bowl crafted from reddish-brown clay, featuring a smooth, unglazed surface."
Bloodmoon.esm,bm_ebonylongsword_s,Shadowsting,A dark ebony long blade extends from a matching hilt on this one-handed sword.
Bloodmoon.esm,light_com_lantern_bm_unique,The Watchman's Eye,A common brass lantern fitted with a protective cage and a prominent central lens that emits a steady glow.
Morrowind.esm,bound_boots,Bound Boots,"Translucent daedric boots formed from dark, jagged metal plates with sharp-edged greaves and pointed toe guards."
Morrowind.esm,key_GatewayInnslaves_01,Gateway Inn Slave Key,"A simple iron key fitted to a worn rectangular bow and a short, notched blade."
Tribunal.esm,book_dwe_cogs00,Old Dwemer Book,"A thick, rectangular octavo volume features a worn, angular cover of aged, brownish metal."
Morrowind.esm,p_restore_speed_s,Standard Restore Speed,A small rounded glass vial holds a pale green liquid sealed with a simple cork stopper.
Morrowind.esm,bk_realbarenziah2,The Real Barenziah v II,"A quarto volume bound in worn leather covers, its pages filled with close-set ink script detailing the biographical contents."
Morrowind.esm,misc_dwrv_artifact20,Dwemer Airship Plans,A rolled parchment of yellowed hide bearing intricate geometric diagrams and mechanical schematics rendered in faded copper ink.
Morrowind.esm,p_drain_personality_q,Spoiled Potion of Swift Swim,"A cloudy, off-color liquid fills this small, round glass flask fitted with a simple cork stopper."
Bloodmoon.esm,Misc_Com_Bottle_04,Bottle,"A tall green glass bottle with a narrow neck and rounded body, sealed with a fitted cork stopper."
Morrowind.esm,devil mole crab helm,Devil Mole Crab Helm,"A chitinous helmet shaped from reddish mole crab shell, featuring a rounded carapace crown and a narrow face guard."
Tribunal.esm,adamantium_mace,Adamantium Mace,"A dense one-handed mace forged from polished adamantium, featuring a heavy flanged head mounted on a sturdy haft."
Morrowind.esm,key_minabislaves_01,Minabi Slave Key,A simple brass key with a rounded bow and a single ward cut into its bit.
Bloodmoon.esm,ingred_wolf_pelt,Wolf Pelt,"A coarse, grayish pelt stripped from a wolf, retaining the thick fur and leathery hide of the beast."
Morrowind.esm,sc_insight,Scroll of Insight,"A rolled parchment scroll bound with a worn cord, featuring faded ink script across its yellowed surface."
Bloodmoon.esm,BM Bear left Pauldron,Bear Left Pauldron,"A left shoulder guard crafted from thick, shaggy brown bear hide stretched over a curved, reinforced leather frame."
Morrowind.esm,misc_de_fishing_pole,Fishing Pole,"A long, slender wooden rod fitted with a hand-wrapped grip and a thin cord line dangling from the tapered tip."
Morrowind.esm,lords_cuirass_unique,Lord's Mail,A golden cuirass with sculpted musculature and ornate shoulder pauldrons covering a dark metallic underlayer.
Bloodmoon.esm,key_gustav_chest,Key to Gustav's chest,"A simple iron key with a flat, notched blade and a plain bow, designed to open Gustav's chest."
Morrowind.esm,bk_fivesongsofkingwulfharth,Five Songs of King Wulfharth,"A quarto-sized book bound in worn leather, its thick pages filled with dense script recounting the five songs."
Morrowind.esm,key_falas tomb keepers_2,Tomb Door Key,"A simple, unadorned iron key with a standard cut bit and a flat, rectangular bow."
Morrowind.esm,Light_Com_Candle_15,Silver Candlestick,"A polished silver candlestick holds a pale wax candle, its broad circular base supporting a slender central column."
Tribunal.esm,fur_pauldron_right,Nordic Fur Right Pauldron,"A right shoulder guard of thick brown fur stitched over a curved leather frame, laced with rawhide straps."
Morrowind.esm,steel dart,Steel Dart,A slender steel throwing dart with a sharp pointed tip and small fletched tail.
Morrowind.esm,steel flamemauler,Steel Flamemauler,"A heavy two-handed steel warhammer built with a long haft and a massive, flame-sculpted striking head."
Morrowind.esm,sc_selynsmistslippers,Scroll of Selyn's Mist Slippers,A tightly wound parchment scroll bears a faintly luminous sigil evoking swirling fog around a footstep.
Morrowind.esm,light_de_candle_ivory_01,Bamboo Candlestick,"A tall, segmented bamboo shaft supports a wide ivory-colored drip pan for holding a candle."
Morrowind.esm,dire vipersword,Dire Vipersword,"A slender, tapering short blade with a hilt shaped to evoke a striking viper's head."
Morrowind.esm,misc_dwrv_goblet10,Ornate Dwemer Goblet,"A tall brass goblet with a flared rim, slender stem, and ornate circular bands encircling the wide base."
Morrowind.esm,glass_dagger_enamor,Enamor,A slender green glass dagger featuring a dragon-shaped crossguard and a tapered blade with a faceted pommel.
Tribunal.esm,bk_tamrielicreligions,The Ruins of Kemel-Ze,"A thick octavo volume bound in worn leather covers, its spine bearing the title in faded gilt lettering."
Morrowind.esm,thong,Thong of Zainab,A narrow amulet cord bearing a small pendant associated with the Zainab Ashlander tribe.
Bloodmoon.esm,BM nordic silver longsword_cft,Clanbringer,A long one-handed blade of pale silver metal features a broad straight guard and a leather-wrapped hilt.
Morrowind.esm,key_persius mercius,Iron Key,"A simple wrought iron key with a flat, notched blade and a plain bow for gripping."
Morrowind.esm,ring of fireball,Ring of Fireball,An expensive gold ring featuring a thick band and a prominent central setting holding a polished reddish stone.
Morrowind.esm,amulet of recall,Amulet of Recall,"An extravagant gold amulet features a large central gem set within an ornate, symmetrical filigree frame."
