topic,aliases,topic_desc,knowledge_class,topic_desc_basic,knowledge_class_basic,tags,category
dwemer,"Deep Elves, Dwarves","The Dwemer, commonly called Dwarves or Deep Elves, are a fabled lost race of Mer that vanished in 1E 700. Devoted to reason, science, and the arcane over faith, they built elaborate underground cities and crafted enigmatic mechanical constructs. Their agnostic culture often clashed with the Daedra-worshipping Chimer, though the two united under the First Council to repel Nordic invaders before warring over the profane Heart of Lorkhan. The Rourken clan exiled itself westward to Hammerfell, while other clans established holdings in Skyrim. The entire race mysteriously disappeared during the War of the First Council, leaving behind only their enigmatic ruins, mechanical guardians, and enduring mysteries.","scholar, dwemer, mage, smith","The Dwemer, or Deep Elves, were a reclusive race of Mer known as Dwarves who mysteriously vanished in 1E 700. They were highly skilled engineers and enchanters who built vast underground cities and mechanical guardians across Morrowind, Hammerfell, and Skyrim. Their agnostic society preferred reason over religion, frequently clashing with their Daedra-worshipping Chimer neighbors. Their sudden disappearance left their ruins and artifacts scattered across Tamriel.","common, traveler, dwemer, mage, smith","mer, lost race, dwarves, deep elves, first council, resdayn, dwarven ruins, dwarven constructs, heart of lorkhan, rourken, hammerfell, vvardenfell",races
disappearance_of_the_dwemer,Vanishing of the Dwarves,"The Disappearance of the Dwemer is the profound mystery surrounding the sudden vanishing of the entire Dwemer race from Tamriel around 1E 700, during the War of the First Council. The prevailing theory centers on Chief Tonal Architect Kagrenac's tools and his attempt to tap the divine power of the Heart of Lorkhan beneath Red Mountain. Texts such as Divine Metaphysics outline principles for creating a new god through sorcery, while The Egg of Time argues that linking to a divine source is not inherently dangerous if interrupted. Whether Kagrenac's ritual succeeded in ascending his people, destroyed them, or cast them elsewhere remains fiercely debated. The sole surviving Dwemer, Yagrum Bagarn, was absent in the Outer Realms during the event and can offer only theories, leaving the ultimate fate of his people unresolved.","scholar, esoteric, dwemer, mage","Around 1E 700, the entire Dwemer race vanished without a trace from their cities across Tamriel. This occurred during the War of the First Council against the Chimer. Theories link the disappearance to Kagrenac's attempt to harness the Heart of Lorkhan beneath Red Mountain, but the true fate of the Deep Folk remains one of Tamriel's greatest unsolved mysteries.","esoteric, dwemer","dwemer, chimer, red_mountain, kagrenac, heart_of_lorkhan, resdayn, first_council, yagrum_bagarn, dumac, nerevar, mystery",history
heart_of_lorkhan,Heart of the World,"The Heart of Lorkhan is the divine spark of the dead trickster god Lorkhan. Falling from the heavens as a star-wound, it impacted Vvardenfell and formed Red Mountain. In Tower metaphysics, this First Stone anchors Red Tower and enables Mundus to persist without full divine presence, granting Nirn its variable fate. The Dwemer discovered the Heart and forged tools to harness its power for a brass god, but vanished instead. Later, the Tribunal and Dagoth Ur drew upon it to achieve divinity, visiting annually to renew their power until Dagoth Ur severed their access. Some traditions hold that the Heart creates Heroes to defend the mortal plane, and that the red gem of the Amulet of Kings originated as a drop of its blood.","scholar, esoteric, dwemer, house_dagoth, tribunal_temple, mage","The Heart of Lorkhan is the divine spark of the dead god Lorkhan. Legend holds that it fell from the sky as a meteor, forming Red Mountain in Vvardenfell. The Dwemer discovered it and attempted to harness its power, but mysteriously vanished. Later, the Tribunal and Dagoth Ur used the Heart to become living gods.","esoteric, tribunal_temple, mage","Lorkhan, Red Mountain, Vvardenfell, Tribunal, Dagoth Ur, Dwemer, First Stone, Red Tower, Amulet of Kings, divine spark, Nirn",lore
ghostfence,,"The Great Ghost Fence is an enormous wall encircling the crater of Red Mountain, raised by the Tribunal to contain the Blight and corprus monsters within the Red Mountain region. Its pillars channel the holy energies of Almsivi and the spirits of the deceased, forming an impenetrable shield. Constructed in standard Temple architectural style, it has stood since shortly after the Armistice in the late Second Era and is centuries old. The only conventional entrance lies at the gate citadel of Ghostgate, though a tunnel through Kogoruhn also breaches the barrier. Levitation and cliff racers can pass over the wall. The period around 3E 417 is sometimes called the time of the Ghostfence. Pilgrims following the Seven Graces must pass through the fence to reach the Shrine of Pride.","scholar, traveler, tribunal_temple, red_mountain","The Great Ghost Fence is a vast wall surrounding Red Mountain, sustained by the Tribunal's combined powers to keep the Blight and corprus monsters contained. The only conventional entrance is at Ghostgate. It has stood for centuries since shortly after the Armistice.","common, tribunal_temple, red_mountain","ghostfence, red mountain, blight, corprus, tribunal, ghostgate, kogoruhn, vvardenfell, temple architecture, pilgrimage, shrine of pride, shield",locations
blight,"Blight disease, Blight storms","The Blight is a malignant weather phenomenon originating from Red Mountain, where dense, ruddy ash storms carry supernatural disease across Vvardenfell. Confined behind the Ghostfence, these blight storms spill into the Ashlands, infecting any creature or traveler they touch with one of four debilitating Blight diseases. Afflicted fauna grow stronger, grotesque, and highly aggressive; infected mortals may similarly twist into shambling, violent husks. Dagoth Ur is widely believed to be the source of the Blight. Because the affliction silently degrades physical attributes and cannot be prevented by curing carriers beforehand, restoration magic—such as Vivec's Touch—is essential for survival and treating infected companions in blighted regions.","scholar, healer, ashlander, red_mountain","The Blight is a deadly red ash storm that spreads from Red Mountain, carrying supernatural disease across Vvardenfell. It infects people and animals, making creatures stronger and more aggressive while twisting victims into violent husks. The Ghostfence holds most of it back, but blight storms still leak into the Ashlands. Healers and travelers rely on cure spells to treat its debilitating effects.","common, healer, ashlander, red_mountain","disease, Red Mountain, Ghostfence, ash storm, Dagoth Ur, Vvardenfell, Ashlands, corprus",diseases
corprus,Divine Disease,"Corprus, meaning 'skin blight' in Ald Chimeris, encompasses various skin ailments afflicting the Dunmer. Ranging from mild blemishes to lethal plagues, these maladies stem from natural causes like poor hygiene and parasites, or unnatural alchemical and magical origins. However, the term is most notoriously applied to the Divine Disease, a horrific supernatural blight created by Dagoth Ur. This corprus twists victims into grotesque, agonized mutants, eroding their minds while unnaturally bolstering their physical resilience, ultimately reducing them to shambling corprus beasts or mindless servants of the Sixth House.","scholar, esoteric, healer, house_dagoth, tribunal_temple","Corprus, meaning 'skin blight' in Ald Chimeris, refers to various skin ailments common among the Dunmer. These range from natural blemishes caused by poor hygiene to severe magical plagues. Most notoriously, the term describes the Divine Disease, a horrific supernatural blight created by Dagoth Ur that twists victims into grotesque, mindless mutants.","esoteric, healer","disease, blight, Dagoth Ur, Sixth House, Divine Disease, Ald Chimeris, corprus beast, Tribunal Temple, Vvardenfell, skin blight",diseases
ashlanders,"Ashland tribes, Velothi nomads","Ashlanders are Dunmeri nomads dwelling in Morrowind's harshest wildernesses, preserving the ancestor-worshipping tribal culture abandoned by the Great Houses. Calling themselves the Velothi people, they reject the Tribunal as betrayers of Lord Nerevar who sustain themselves through necromantic arts. Each clan is led by an Ashkhan in temporal matters and a Wise Woman in spiritual affairs; the Wise Women interpret prophetic dreams and guard ancient verses. The four Vvardenfell clans—Ahemmusa, Erabenimsun, Urshilaku, and Zainab—frequently feud. Proud and xenophobic, Ashlanders observe strict codes of honor, gift-giving, and courtesy among themselves, but are deeply hostile toward outlanders, whom they shun unless named Clanfriend. The small Nerevarine Cult persists within their tradition, awaiting a foreigner foretold to right ancient wrongs.","traveler, scholar, ashlander, dunmer","Ashlanders are Dunmer nomads inhabiting Morrowind's wastelands who preserve the ancient ancestor-worshipping culture the Great Houses abandoned. They reject the Tribunal, believing its members betrayed Lord Nerevar. Organized into four Vvardenfell clans led by Ashkhans and Wise Women, they are proud, xenophobic, and deeply hostile to outlanders, though one who aids a clan may be named Clanfriend.","common, ashlander, dunmer","Dunmer, nomads, Vvardenfell, ancestor worship, Nerevarine Cult, Wise Women, Ashkhans, Tribunal opposition, tribes, Velothi",cultures
urshilaku_tribe,Urshilaku Ashlanders,"The Urshilaku are one of the four Ashlander tribes of Vvardenfell, dwelling along the northern coast where the West Gash meets the Ashlands. As the second-most populated tribe, they serve as the foremost lore-keepers and mystics among the Ashlanders. They are the strict guardians of the Nerevarine Prophecies and host the Nerevarine Cult, which venerates Indoril Nerevar and awaits his reincarnation. Despite their rigid traditionalism, the Urshilaku uniquely grant outsiders the title of Clanfriend and are reportedly willing to accept reinterpretations of the prophecies should the Nerevarine prove an outlander. They retain ancestral practices such as keeping guar bones for spiritual guidance and maintain burial caverns east of Bthungthumz.","scholar, ashlander","The Urshilaku are one of the four Ashlander tribes of Vvardenfell, living along the northern coast. Renowned as lore-keepers and mystics, they fiercely guard the Nerevarine Prophecies and host the Nerevarine Cult, which awaits the reincarnation of Indoril Nerevar. Despite their traditionalism, they uniquely welcome outsiders as Clanfriends.","common, traveler, ashlander","Ashlanders, Vvardenfell, Urshilaku, Nerevarine Cult, Ashlander tribes, Nerevarine Prophecies, Dissident Priests, Urshilaku Camp, traditionalists, Indoril Nerevar",factions
ahemmusa_tribe,Ahemmusa Ashlanders,"One of the four Ashlander tribes of Vvardenfell, the Ahemmusa are traditionally reclusive and peaceful hunters, herders, and fishermen who favor coastal encampments. Their distinctive garb incorporates seashells, scales, and netting, and they employ the rare Ashen Fern to mask their scent while hunting. Currently encamped in Vvardenfell's northeastern reaches, the tribe faces existential crisis. Blight storms, corprus monsters, and maddened beasts have devastated their food supplies and herds, while ash storms render traditional hunting arduous. Many Ahemmusa have perished, including their Ashkhan, who left no successor. In his absence, Wise Woman Sinnammu Mirpal governs the tribe, seeking a safe haven for migration. A second Wise Woman, Urshamusa Rapli, and the healer Mamaea serve the survivors. The Ahemmusa subsist largely by barter, possessing little gold amid their ongoing struggle for survival.","scholar, ashlander","One of the four Ashlander tribes of Vvardenfell, the Ahemmusa are peaceful, reclusive fishermen and hunters who favor coastal camps. Their clothing features seashells and netting. Currently, the tribe suffers terribly from Blight storms and maddened beasts that devastate their food supply. With their Ashkhan dead and no successor, Wise Woman Sinnammu Mirpal leads the survivors and seeks a safe new home for migration.","common, traveler, ashlander","Ashlanders, Vvardenfell, Ahemmusa, tribe, fishermen, Blight, Sinnammu Mirpal, nomads, Wise Women, Ashkhan",factions
erabenimsun_tribe,Erabenimsun Ashlanders,"One of the four Ashlander tribes of Vvardenfell, the Erabenimsun dwell in the harsh volcanic wastes of Molag Amur from their permanent camp deep in the region's hills. Renowned as warriors who prize strength above all, they are fiercely xenophobic, tolerating neither outlanders nor often other Ashlanders, and have little regard for Imperial concerns or the Nerevarine prophecies. The tribe is divided between a dominant warlike faction favoring raiding and a smaller sect of peace-loving hunters who live off the land. Imperial encroachment, including the theft of their guar herds for hides, has only deepened their hostility toward outsiders.","scholar, ashlander","One of the four Ashlander tribes of Vvardenfell, the Erabenimsun inhabit the volcanic wastes of Molag Amur from their permanent hillside camp. Fierce warriors who esteem strength, they are known for deep distrust of outlanders and even other Ashlanders, and have little patience for foreign ways or prophecies.","common, traveler, ashlander","ashlander, tribe, vvardenfell, molag-amur, warriors, xenophobic, dunmer, camp",factions
zainab_tribe,Zainab Ashlanders,"The Zainab are the largest and most prosperous of the four Ashlander tribes of Vvardenfell. Camped in the Grazelands near Vos and Nchuleft, they uniquely balance traditional nomadic customs with extensive trade, even operating an ebony mine. Though superficially xenophobic, they maintain significant relations with House Hlaalu and House Telvanni, welcoming outside commerce and news. Unlike isolationist tribes, the Zainab currently feel little concern regarding the Blight or Nerevarine prophecies, prioritizing mercantile wealth and regional exchange. They harvest kwama queen wax for crafts and ceremonies and respect martial service to the tribe.","scholar, ashlander","The Zainab are the largest and most prosperous of Vvardenfell's four Ashlander tribes. Camped in the Grazelands near Vos, they are unusually open to trade with Outlanders and Great Houses, even operating an ebony mine. They currently dismiss the Nerevarine prophecies, prioritizing commerce instead.","common, traveler, ashlander","Ashlanders, Zainab, Vvardenfell, Grazelands, Vos, ebony, House Hlaalu, House Telvanni, kwama, trade",factions
vivec,"Lord Vivec, Warrior-Poet, Vehk","Vivec, known as the Warrior-Poet, is the Guardian God-King of Vvardenfell and a member of the Tribunal alongside Almalexia and Sotha Sil. He embodies the spirit and duality of the Dunmer people, reflected in his half-Chimer, half-Dunmer aspect. Before apotheosis, he served as Hortator Indoril Nerevar's general, though accounts of his mortal origins range from a netchiman's son to a divine egg-image associated with the Daedric Prince Mephala. A prolific writer, his cryptic 36 Lessons serve as a guide for the prophesied Nerevarine. He resides in his palace at the summit of Vivec City, the holy canton capital of Vvardenfell, guarding the land from the dark gods of Red Mountain. His legendary spear is Muatra.","priest, scholar, tribunal_temple, dunmer","Lord Vivec, the Warrior-Poet, is one of the three Living Gods of the Tribunal and the Guardian God-King of Vvardenfell. He embodies Dunmer duality and is renowned for both martial prowess and cryptic poetry. He resides within his palace in Vivec City, ever vigilant against the forces of Red Mountain.","common, tribunal_temple, dunmer","Tribunal, god, Dunmer, Chimer, Vvardenfell, Muatra, Almsivi, Nerevarine, poet, Mephala",figures
almalexia,"Lady Almalexia, Mother Morrowind, Ayem","Almalexia, known as Ayem, the Warden, and the Lover, is one of the three God-Kings of the Tribunal, representing Alm in the Almsivi. Formerly the mortal wife of Indoril Nerevar, she and her fellow Tribunes broke their oath to Azura following Nerevar's death at Red Mountain, using Kagrenac's Tools on the Heart of Lorkhan to steal divine essence. This act transformed the Chimer into the Dunmer. The Temple's orthodox Heirographa conceals this, attributing their godhood to supernatural virtue. Almalexia is revered as the Healing Mother and patron of the poor, residing in the temple city of Mournhold. She is closely associated with House Indoril and known for walking among her followers. Her power waned during the Third Era struggle with Dagoth Ur, and accounts of her final fate remain deeply disputed.","priest, scholar, tribunal_temple, dunmer, mournhold","Almalexia is one of the three God-Kings of the Tribunal, revered by the Dunmer as the Healing Mother and Lady of Mercy. She resides in Mournhold and serves as the patron of teachers and healers. Formerly the mortal wife of Lord Nerevar, she ascended to godhood alongside Vivec and Sotha Sil after the Battle of Red Mountain, becoming an immortal protector of Morrowind.","common, tribunal_temple, dunmer, mournhold","Tribunal, Almsivi, God-King, Dunmer, Mournhold, House Indoril, Nerevar, Red Mountain, Healer, Chimer",figures
sotha_sil,"Lord Sotha Sil, Seht, Clockwork God","Sotha Sil, or Seht, is the wizard-mystic god of the Dunmer and the most reclusive member of the Tribunal. Known as the Mainspring Ever-Wound and the Clockwork God, he is the patron of artificers and wizards. He brokered the Coldharbour Compact with eight Daedric Princes to restrict their direct interference in mortal affairs. He dwells within his Clockwork City, a mechanical realm served by fabricants and Clockwork Apostles devoted to achieving Tamriel Final. To free himself from the burden of emotion, he extracted his memories into the Mnemonic Planisphere. He does not believe in free will or his own divinity, viewing himself as bound to his creations and burdened by absolute certainty, coveting the word 'maybe' above all others.","priest, scholar, tribunal_temple, dunmer, mage","Sotha Sil, called Seht, is the reclusive wizard-mystic god of the Dunmer and a member of the Tribunal. Known as the Clockwork God and patron of artificers, he negotiated the Coldharbour Compact limiting Daedric interference in mortal affairs. He resides within his Clockwork City, endlessly creating mechanical wonders, and rarely appears among his followers.","common, tribunal_temple, dunmer, mage","Tribunal, AlmSiVi, Dunmer, Clockwork City, Coldharbour Compact, Daedra, Mnemonic Planisphere, Clockwork Apostles, Gods, Chimer",figures
dagoth_ur,"Voryn Dagoth, Sharmat","Once Voryn Dagoth, Lord High Councilor of House Dagoth and companion of Hortator Indoril Nerevar, he reported the Dwemer's profane discovery of the Heart of Lorkhan, inadvertently sparking the Battle of Red Mountain. Accounts of his actions during the conflict fiercely diverge, but the aftermath saw his house condemned as traitors and his name demonized by the Tribunal Temple as the Sharmat and the Devil. Surviving his apparent death, he slept beneath Red Mountain for millennia. Upon reawakening, he stole divine power from the Tribunal, spread the Blight and corprus across Morrowind, and sought to build Akulakhan to conquer Tamriel.","scholar, esoteric, house_dagoth, ashlander, tribunal_temple","Known to the Tribunal Temple as the Sharmat and the Devil, Dagoth Ur is the immortal enemy of the Dunmer people. Once the lord of the extinct House Dagoth, he slept beneath Red Mountain for ages before reawakening. He spreads the Blight and corprus disease from his stronghold, seeking to conquer all of Morrowind.","esoteric, tribunal_temple","House Dagoth, Sharmat, Red Mountain, Heart of Lorkhan, Tribunal, Akulakhan, Blight, Corprus, Nerevarine, Sixth House, Dunmer",figures
indoril_nerevar,"Lord Nerevar, Nerevar Moon-and-Star, Saint Nerevar","Indoril Nerevar, the Chimer Hortator and King of Resdayn, forged the First Council with the Dwemer in 1E 416. He died following the Battle of Red Mountain circa 1E 700 under fiercely disputed circumstances. The Tribunal Temple venerates him as Saint Nerevar, patron of warriors and House Redoran, while Ashlander cults await his prophesied return as the Nerevarine to cast down false gods and restore the ancestral promises.","scholar, dunmer, ashlander, tribunal_temple","Indoril Nerevar is the ancient Chimer king and Hortator who united his people against the Dwemer at the Battle of Red Mountain. He died under disputed circumstances shortly after this victory. The Tribunal Temple honors him as Saint Nerevar, while Ashlanders revere him as a prophet and await his reincarnation as the Nerevarine.","common, traveler, dunmer, ashlander, tribunal_temple","Chimer, Hortator, Resdayn, Red Mountain, First Council, Dwemer, Nerevarine, Azura, Almalexia, House Indoril, Tribunal",figures
saint_veloth,Prophet Veloth,"Saint Veloth, the Prophet and patron of outcasts, led the Chimer exodus from Summerset to Resdayn after receiving visions. He defined the distinction between good and evil Daedra, negotiated arrangements with the good Daedric Princes, and laid the religious and cultural foundations that transformed the Chimer into the Dunmer. Numerous holy relics are attributed to him, including the warhammer Veloth's Judgment, which cleanses corrupted souls, the frozen Tear of Saint Veloth, and his venerated bones housed in a Deshaan reliquary. The Tribunal Temple and Ashlander tribes both revere him, though their interpretations of his teachings differ.","priest, scholar, tribunal_temple, dunmer, ashlander","Saint Veloth was the prophet who led the Chimer exodus from Summerset to their new homeland of Resdayn. He established the core religious traditions of the Dunmer people, distinguishing between good and evil Daedra. He is revered by both the Tribunal Temple and the Ashlanders.","common, tribunal_temple, dunmer, ashlander","saint, prophet, chimer, dunmer, exodus, daedra, tribunal_temple, ashlander, resdayn, relics",figures
